Gene_Name,ENSEMBLID,Name_HUMAN,Drug_Name,Affinity,Class
MAPK7,ENSP00000311005,MK07_HUMAN,linifanib,5.0,0
KDR,ENSP00000263923,VGFR2_HUMAN,alvocidib,5.0,0
FGFR4,ENSP00000292408,FGFR4_HUMAN,linifanib,5.0,0
SRC,ENSP00000362680,SRC_HUMAN,alvocidib,5.0,0
FGR,ENSP00000363117,FGR_HUMAN,linifanib,5.0,0
BMPR1A,ENSP00000361107,BMR1A_HUMAN,alvocidib,5.0,0
DAPK1,ENSP00000386135,DAPK1_HUMAN,linifanib,5.0,0
CSK,ENSP00000220003,CSK_HUMAN,linifanib,5.0,0
MAPK7,ENSP00000311005,MK07_HUMAN,vandetanib,5.0,0
DDR2,ENSP00000356899,DDR2_HUMAN,alvocidib,5.0,0
FGFR2,ENSP00000410294,FGFR2_HUMAN,alvocidib,5.0,0
NLK,ENSP00000384625,NLK_HUMAN,linifanib,5.0,0
CSNK1E,ENSP00000380044,KC1E_HUMAN,alvocidib,5.0,0
TTK,ENSP00000358813,TTK_HUMAN,crizotinib,5.0,0
PKMYT1,ENSP00000262300,PMYT1_HUMAN,alvocidib,5.0,0
PKMYT1,ENSP00000262300,PMYT1_HUMAN,dovitinib,5.0,0
NLK,ENSP00000384625,NLK_HUMAN,alvocidib,5.0,0
EPHA1,ENSP00000275815,EPHA1_HUMAN,linifanib,5.0,0
CDK17,ENSP00000261211,CDK17_HUMAN,linifanib,5.0,0
SIK2,ENSP00000305976,SIK2_HUMAN,linifanib,5.0,0
MAPK7,ENSP00000311005,MK07_HUMAN,gefitinib,5.0,0
PRKD1,ENSP00000333568,KPCD1_HUMAN,linifanib,5.0,0
DCLK2,ENSP00000303887,DCLK2_HUMAN,imatinib,5.0,0
CDC42BPG,ENSP00000345133,MRCKG_HUMAN,tozasertib,5.0,0
MARK1,ENSP00000483424,MARK1_HUMAN,linifanib,5.0,0
MYLK3,ENSP00000378288,MYLK3_HUMAN,vandetanib,5.0,0
CDC42BPG,ENSP00000345133,MRCKG_HUMAN,sunitinib,5.0,0
SIK3,ENSP00000364449,SIK3_HUMAN,alvocidib,5.0,0
MARK1,ENSP00000483424,MARK1_HUMAN,alvocidib,5.0,0
YES1,ENSP00000462468,YES_HUMAN,linifanib,5.0,0
EPHB2,ENSP00000363763,EPHB2_HUMAN,alvocidib,5.0,0
CDC42BPG,ENSP00000345133,MRCKG_HUMAN,lapatinib,5.0,0
CLK3,ENSP00000378505,CLK3_HUMAN,linifanib,5.0,0
CDC42BPG,ENSP00000345133,MRCKG_HUMAN,imatinib,5.0,0
CDC42BPG,ENSP00000345133,MRCKG_HUMAN,gefitinib,5.0,0
DCLK2,ENSP00000303887,DCLK2_HUMAN,lapatinib,5.0,0
MAPK3,ENSP00000263025,MK03_HUMAN,linifanib,5.0,0
CDC42BPG,ENSP00000345133,MRCKG_HUMAN,dovitinib,5.0,0
BRAF,ENSP00000288602,BRAF_HUMAN,brivanib,5.0,0
ATM,ENSP00000278616,ATM_HUMAN,staurosporine,5.0,0
CDC42BPG,ENSP00000345133,MRCKG_HUMAN,alvocidib,5.0,0
TGFBR2,ENSP00000351905,TGFR2_HUMAN,linifanib,5.0,0
PAK2,ENSP00000314067,PAK2_HUMAN,alvocidib,5.0,0
CDK17,ENSP00000261211,CDK17_HUMAN,imatinib,5.0,0
IRAK3,ENSP00000261233,IRAK3_HUMAN,lapatinib,5.0,0
CDK17,ENSP00000261211,CDK17_HUMAN,gefitinib,5.0,0
TIE1,ENSP00000361554,TIE1_HUMAN,gefitinib,5.0,0
CDK17,ENSP00000261211,CDK17_HUMAN,erlotinib,5.0,0
CLK2,ENSP00000357345,CLK2_HUMAN,linifanib,5.0,0
STK24,ENSP00000365730,STK24_HUMAN,alvocidib,5.0,0
IRAK3,ENSP00000261233,IRAK3_HUMAN,dasatinib,5.0,0
ACVR1,ENSP00000263640,ACVR1_HUMAN,linifanib,5.0,0
IRAK3,ENSP00000261233,IRAK3_HUMAN,dovitinib,5.0,0
CDK17,ENSP00000261211,CDK17_HUMAN,dasatinib,5.0,0
IRAK3,ENSP00000261233,IRAK3_HUMAN,erlotinib,5.0,0
DCLK2,ENSP00000303887,DCLK2_HUMAN,dasatinib,5.0,0
EPHB3,ENSP00000332118,EPHB3_HUMAN,lapatinib,5.0,0
MELK,ENSP00000298048,MELK_HUMAN,alvocidib,5.0,0
NEK1,ENSP00000424757,NEK1_HUMAN,alvocidib,5.0,0
DCLK2,ENSP00000303887,DCLK2_HUMAN,erlotinib,5.0,0
INSR,ENSP00000303830,INSR_HUMAN,alvocidib,5.0,0
MAPK3,ENSP00000263025,MK03_HUMAN,alvocidib,5.0,0
IRAK3,ENSP00000261233,IRAK3_HUMAN,imatinib,5.0,0
SIK2,ENSP00000305976,SIK2_HUMAN,alvocidib,5.0,0
MAPK7,ENSP00000311005,MK07_HUMAN,imatinib,5.0,0
MAPK7,ENSP00000311005,MK07_HUMAN,lapatinib,5.0,0
MAPK7,ENSP00000311005,MK07_HUMAN,erlotinib,5.0,0
RIPK2,ENSP00000220751,RIPK2_HUMAN,alvocidib,5.0,0
PAK4,ENSP00000469413,PAK4_HUMAN,alvocidib,5.0,0
RAF1,ENSP00000251849,RAF1_HUMAN,alvocidib,5.0,0
CDK14,ENSP00000369390,CDK14_HUMAN,dasatinib,5.0,0
PRKG2,ENSP00000264399,KGP2_HUMAN,alvocidib,5.0,0
MYLK4,ENSP00000274643,MYLK4_HUMAN,linifanib,5.0,0
RIOK1,ENSP00000369162,RIOK1_HUMAN,alvocidib,5.0,0
ROS1,ENSP00000357494,ROS1_HUMAN,alvocidib,5.0,0
ANKK1,ENSP00000306678,ANKK1_HUMAN,erlotinib,5.0,0
CDK2,ENSP00000266970,CDK2_HUMAN,vandetanib,5.0,0
ACVR2B,ENSP00000340361,AVR2B_HUMAN,dovitinib,5.0,0
ITK,ENSP00000398655,ITK_HUMAN,linifanib,5.0,0
ACVR2B,ENSP00000340361,AVR2B_HUMAN,erlotinib,5.0,0
ACVR2B,ENSP00000340361,AVR2B_HUMAN,gefitinib,5.0,0
ACVR2B,ENSP00000340361,AVR2B_HUMAN,imatinib,5.0,0
ACVR2B,ENSP00000340361,AVR2B_HUMAN,lapatinib,5.0,0
ACVR2B,ENSP00000340361,AVR2B_HUMAN,linifanib,5.0,0
MAP3K11,ENSP00000309597,M3K11_HUMAN,alvocidib,5.0,0
CAMKK1,ENSP00000158166,KKCC1_HUMAN,linifanib,5.0,0
ACVR2B,ENSP00000340361,AVR2B_HUMAN,sunitinib,5.0,0
MYLK4,ENSP00000274643,MYLK4_HUMAN,lapatinib,5.0,0
ROS1,ENSP00000357494,ROS1_HUMAN,linifanib,5.0,0
ANKK1,ENSP00000306678,ANKK1_HUMAN,gefitinib,5.0,0
MAPK7,ENSP00000311005,MK07_HUMAN,dovitinib,5.0,0
RIOK1,ENSP00000369162,RIOK1_HUMAN,dasatinib,5.0,0
MAP4K5,ENSP00000013125,M4K5_HUMAN,alvocidib,5.0,0
RIOK1,ENSP00000369162,RIOK1_HUMAN,gefitinib,5.0,0
ILK,ENSP00000379975,ILK_HUMAN,staurosporine,5.0,0
ILK,ENSP00000379975,ILK_HUMAN,alvocidib,5.0,0
RIOK3,ENSP00000341874,RIOK3_HUMAN,vandetanib,5.0,0
RIOK1,ENSP00000369162,RIOK1_HUMAN,erlotinib,5.0,0
MAP3K12,ENSP00000448689,M3K12_HUMAN,alvocidib,5.0,0
MAP3K11,ENSP00000309597,M3K11_HUMAN,linifanib,5.0,0
ITK,ENSP00000398655,ITK_HUMAN,alvocidib,5.0,0
TLK1,ENSP00000411099,TLK1_HUMAN,alvocidib,5.0,0
RIOK3,ENSP00000341874,RIOK3_HUMAN,alvocidib,5.0,0
ANKK1,ENSP00000306678,ANKK1_HUMAN,imatinib,5.0,0
SRPK1,ENSP00000362931,SRPK1_HUMAN,alvocidib,5.0,0
RIOK3,ENSP00000341874,RIOK3_HUMAN,linifanib,5.0,0
RIOK3,ENSP00000341874,RIOK3_HUMAN,lapatinib,5.0,0
RIOK3,ENSP00000341874,RIOK3_HUMAN,imatinib,5.0,0
RIOK3,ENSP00000341874,RIOK3_HUMAN,gefitinib,5.0,0
RIOK3,ENSP00000341874,RIOK3_HUMAN,erlotinib,5.0,0
MYLK4,ENSP00000274643,MYLK4_HUMAN,vandetanib,5.0,0
RIOK3,ENSP00000341874,RIOK3_HUMAN,dasatinib,5.0,0
MAP3K6,ENSP00000419591,M3K6_HUMAN,sunitinib,5.0,0
FLT1,ENSP00000282397,VGFR1_HUMAN,alvocidib,5.0,0
ACVR2B,ENSP00000340361,AVR2B_HUMAN,vandetanib,5.0,0
BMPR1A,ENSP00000361107,BMR1A_HUMAN,vandetanib,5.0,0
NEK9,ENSP00000238616,NEK9_HUMAN,linifanib,5.0,0
NEK1,ENSP00000424757,NEK1_HUMAN,linifanib,5.0,0
TESK2,ENSP00000361158,TESK2_HUMAN,alvocidib,5.0,0
MAPKAPK5,ENSP00000449381,MAPK5_HUMAN,alvocidib,5.0,0
NEK2,ENSP00000355966,NEK2_HUMAN,alvocidib,5.0,0
NEK9,ENSP00000238616,NEK9_HUMAN,alvocidib,5.0,0
PRKDC,ENSP00000313420,PRKDC_HUMAN,staurosporine,5.0,0
PRKDC,ENSP00000313420,PRKDC_HUMAN,alvocidib,5.0,0
MARK2,ENSP00000385751,MARK2_HUMAN,alvocidib,5.0,0
MYLK4,ENSP00000274643,MYLK4_HUMAN,alvocidib,5.0,0
ANKK1,ENSP00000306678,ANKK1_HUMAN,alvocidib,5.0,0
IGF1R,ENSP00000268035,IGF1R_HUMAN,alvocidib,5.0,0
BMPR1A,ENSP00000361107,BMR1A_HUMAN,linifanib,5.0,0
BMPR1A,ENSP00000361107,BMR1A_HUMAN,lapatinib,5.0,0
CDK17,ENSP00000261211,CDK17_HUMAN,vandetanib,5.0,0
BMPR1A,ENSP00000361107,BMR1A_HUMAN,imatinib,5.0,0
BMPR1A,ENSP00000361107,BMR1A_HUMAN,gefitinib,5.0,0
BMPR1A,ENSP00000361107,BMR1A_HUMAN,erlotinib,5.0,0
BMPR1A,ENSP00000361107,BMR1A_HUMAN,dovitinib,5.0,0
MAPK7,ENSP00000311005,MK07_HUMAN,dasatinib,5.0,0
ANKK1,ENSP00000306678,ANKK1_HUMAN,dasatinib,5.0,0
TESK2,ENSP00000361158,TESK2_HUMAN,staurosporine,5.0,0
CSK,ENSP00000220003,CSK_HUMAN,alvocidib,5.0,0
TTK,ENSP00000358813,TTK_HUMAN,linifanib,5.0,0
STK11,ENSP00000324856,STK11_HUMAN,alvocidib,5.0,0
NUAK2,ENSP00000356125,NUAK2_HUMAN,linifanib,5.0,0
NEK2,ENSP00000355966,NEK2_HUMAN,linifanib,5.0,0
MYLK4,ENSP00000274643,MYLK4_HUMAN,imatinib,5.0,0
MYLK4,ENSP00000274643,MYLK4_HUMAN,gefitinib,5.0,0
MYLK4,ENSP00000274643,MYLK4_HUMAN,erlotinib,5.0,0
MYLK4,ENSP00000274643,MYLK4_HUMAN,dasatinib,5.0,0
MAPKAPK5,ENSP00000449381,MAPK5_HUMAN,linifanib,5.0,0
ZAP70,ENSP00000264972,ZAP70_HUMAN,linifanib,5.0,0
STK11,ENSP00000324856,STK11_HUMAN,linifanib,5.0,0
PLK1,ENSP00000300093,PLK1_HUMAN,alvocidib,5.0,0
ZAP70,ENSP00000264972,ZAP70_HUMAN,alvocidib,5.0,0
MAPKAPK2,ENSP00000356070,MAPK2_HUMAN,alvocidib,5.0,0
BMPR2,ENSP00000363708,BMPR2_HUMAN,alvocidib,5.0,0
PRKAA1,ENSP00000346148,AAPK1_HUMAN,dasatinib,4.999656668,0
FLT4,ENSP00000261937,VGFR3_HUMAN,dasatinib,4.999656668,0
CLK3,ENSP00000378505,CLK3_HUMAN,dasatinib,4.99960809,0
MAP2K1,ENSP00000302486,MP2K1_HUMAN,sorafenib,4.999530927,0
MAPK8,ENSP00000378974,MK08_HUMAN,linifanib,4.999485002,0
CSNK2A1,ENSP00000217244,CSK21_HUMAN,linifanib,4.999485002,0
MARK2,ENSP00000385751,MARK2_HUMAN,linifanib,4.999485002,0
PTK2,ENSP00000341189,FAK1_HUMAN,linifanib,4.999485002,0
PAK4,ENSP00000469413,PAK4_HUMAN,linifanib,4.999485002,0
SRC,ENSP00000362680,SRC_HUMAN,linifanib,4.999485002,0
DAPK3,ENSP00000442973,DAPK3_HUMAN,linifanib,4.999485002,0
PHKG2,ENSP00000455607,PHKG2_HUMAN,linifanib,4.999485002,0
MAP4K4,ENSP00000343658,M4K4_HUMAN,linifanib,4.999485002,0
MARK3,ENSP00000411397,MARK3_HUMAN,linifanib,4.999485002,0
MARK4,ENSP00000262891,MARK4_HUMAN,linifanib,4.999485002,0
CSNK1G1,ENSP00000305777,KC1G1_HUMAN,linifanib,4.999485002,0
PRKCI,ENSP00000295797,KPCI_HUMAN,linifanib,4.998970003999999,0
PTK2,ENSP00000341189,FAK1_HUMAN,ruxolitinib,4.998970003999999,0
MAP4K4,ENSP00000343658,M4K4_HUMAN,ruxolitinib,4.998970003999999,0
NEK2,ENSP00000355966,NEK2_HUMAN,fascaplysin,4.998471609,0
MARK3,ENSP00000411397,MARK3_HUMAN,imatinib,4.998153041,0
HIPK4,ENSP00000291823,HIPK4_HUMAN,imatinib,4.997598124,0
RPS6KB2,ENSP00000308413,KS6B2_HUMAN,fascaplysin,4.997550932,0
PTK2,ENSP00000341189,FAK1_HUMAN,dovitinib,4.997203652,0
LTK,ENSP00000263800,LTK_HUMAN,sorafenib,4.996641835,0
PRKACA,ENSP00000309591,KAPCA_HUMAN,imatinib,4.995705676,0
CSK,ENSP00000220003,CSK_HUMAN,gefitinib,4.994620112,0
MAPK8,ENSP00000378974,MK08_HUMAN,erlotinib,4.994157623,0
MERTK,ENSP00000295408,MERTK_HUMAN,lapatinib,4.994010339,0
MAP3K9,ENSP00000451263,M3K9_HUMAN,sorafenib,4.992905822,0
CAMK2B,ENSP00000379098,KCC2B_HUMAN,erlotinib,4.992868849,0
PIM1,ENSP00000362608,PIM1_HUMAN,imatinib,4.992866337,0
PRKCA,ENSP00000408695,KPCA_HUMAN,torin1,4.992005947,0
DCLK1,ENSP00000255448,DCLK1_HUMAN,barasertib,4.991312952,0
IKBKE,ENSP00000464030,IKKE_HUMAN,barasertib,4.991312952,0
STK33,ENSP00000416750,STK33_HUMAN,barasertib,4.991312952,0
MAP4K3,ENSP00000263881,M4K3_HUMAN,barasertib,4.991312952,0
PKN2,ENSP00000359552,PKN2_HUMAN,gefitinib,4.990330822,0
MAPK1,ENSP00000215832,MK01_HUMAN,dasatinib,4.989877717,0
CLK2,ENSP00000357345,CLK2_HUMAN,tozasertib,4.989682322,0
ROS1,ENSP00000357494,ROS1_HUMAN,dovitinib,4.989303056000001,0
AKT1,ENSP00000451828,AKT1_HUMAN,imatinib,4.9890539910000005,0
MAP4K5,ENSP00000013125,M4K5_HUMAN,erlotinib,4.98883177,0
IKBKB,ENSP00000430684,IKKB_HUMAN,bosutinib,4.987959033,0
FYN,ENSP00000346671,FYN_HUMAN,erlotinib,4.987709802,0
EPHA7,ENSP00000358309,EPHA7_HUMAN,lapatinib,4.987321944,0
MARK3,ENSP00000411397,MARK3_HUMAN,gefitinib,4.986999789,0
STK11,ENSP00000324856,STK11_HUMAN,sorafenib,4.986374548,0
ZAP70,ENSP00000264972,ZAP70_HUMAN,bosutinib,4.98598781,0
FYN,ENSP00000346671,FYN_HUMAN,nilotinib,4.98598781,0
MAP4K2,ENSP00000294066,M4K2_HUMAN,vandetanib,4.98598781,0
ROS1,ENSP00000357494,ROS1_HUMAN,bosutinib,4.985414237,0
IRAK4,ENSP00000390651,IRAK4_HUMAN,lapatinib,4.985327383,0
CLK2,ENSP00000357345,CLK2_HUMAN,gefitinib,4.984870147,0
CSNK1G1,ENSP00000305777,KC1G1_HUMAN,tivozanib,4.984798139,0
PHKG1,ENSP00000445440,PHKG1_HUMAN,lapatinib,4.984063493,0
DDR2,ENSP00000356899,DDR2_HUMAN,fascaplysin,4.983332015,0
CSNK1G2,ENSP00000255641,KC1G2_HUMAN,tivozanib,4.9829904560000005,0
BRAF,ENSP00000288602,BRAF_HUMAN,imatinib,4.982660063,0
TNK2,ENSP00000371341,ACK1_HUMAN,torin1,4.982625904,0
TNIK,ENSP00000399511,TNIK_HUMAN,crizotinib,4.982625904,0
CDK7,ENSP00000256443,CDK7_HUMAN,torin2,4.982625904,0
PTK6,ENSP00000442460,PTK6_HUMAN,torin1,4.982625904,0
LATS2,ENSP00000372035,LATS2_HUMAN,barasertib,4.982618947,0
MAP3K5,ENSP00000351908,M3K5_HUMAN,sorafenib,4.981868794,0
FER,ENSP00000281092,FER_HUMAN,vandetanib,4.981213485,0
PIM1,ENSP00000362608,PIM1_HUMAN,vandetanib,4.980960736,0
PIM3,ENSP00000353824,PIM3_HUMAN,dovitinib,4.980436366,0
ULK1,ENSP00000324560,ULK1_HUMAN,lapatinib,4.980366303,0
TAOK1,ENSP00000261716,TAOK1_HUMAN,tivozanib,4.980219505,0
CAMK2D,ENSP00000339740,KCC2D_HUMAN,vandetanib,4.980116077,0
MAPK12,ENSP00000215659,MK12_HUMAN,lapatinib,4.979863085,0
MAP3K1,ENSP00000382423,M3K1_HUMAN,cediranib,4.979744954,0
MUSK,ENSP00000363571,MUSK_HUMAN,imatinib,4.97930416,0
GRK7,ENSP00000264952,GRK7_HUMAN,tozasertib,4.979186583,0
STK3,ENSP00000429744,STK3_HUMAN,torin1,4.979036606,0
PAK2,ENSP00000314067,PAK2_HUMAN,cediranib,4.978957626000001,0
STK3,ENSP00000429744,STK3_HUMAN,gefitinib,4.978934678,0
FER,ENSP00000281092,FER_HUMAN,dasatinib,4.978785442,0
MARK3,ENSP00000411397,MARK3_HUMAN,lapatinib,4.978653965,0
CAMK2D,ENSP00000339740,KCC2D_HUMAN,tozasertib,4.978647028,0
STK17A,ENSP00000319192,ST17A_HUMAN,sorafenib,4.977520303,0
SGK2,ENSP00000340608,SGK2_HUMAN,tozasertib,4.9768989580000005,0
NEK7,ENSP00000356355,NEK7_HUMAN,nilotinib,4.9763274630000005,0
PIM3,ENSP00000353824,PIM3_HUMAN,lapatinib,4.975788543,0
PRKG2,ENSP00000264399,KGP2_HUMAN,imatinib,4.975746144,0
CSK,ENSP00000220003,CSK_HUMAN,sunitinib,4.974933192,0
CDC42BPB,ENSP00000355237,MRCKB_HUMAN,lapatinib,4.974875206,0
STK3,ENSP00000429744,STK3_HUMAN,lapatinib,4.974728133999999,0
IGF1R,ENSP00000268035,IGF1R_HUMAN,imatinib,4.974379596,0
CLK2,ENSP00000357345,CLK2_HUMAN,cediranib,4.973844168,0
MAP2K3,ENSP00000345083,MP2K3_HUMAN,sunitinib,4.973293087,0
MINK1,ENSP00000347427,MINK1_HUMAN,gefitinib,4.973264367,0
GRK7,ENSP00000264952,GRK7_HUMAN,bosutinib,4.97282334,0
ITK,ENSP00000398655,ITK_HUMAN,bosutinib,4.97282334,0
KIT,ENSP00000288135,KIT_HUMAN,gefitinib,4.972022313,0
PRKACA,ENSP00000309591,KAPCA_HUMAN,gefitinib,4.971740028999999,0
AKT3,ENSP00000263826,AKT3_HUMAN,imatinib,4.971467176,0
BMX,ENSP00000350224,BMX_HUMAN,sorafenib,4.971299824,0
BRAF,ENSP00000288602,BRAF_HUMAN,gefitinib,4.970888402,0
NTRK2,ENSP00000277120,NTRK2_HUMAN,imatinib,4.970819371,0
MAPK13,ENSP00000211287,MK13_HUMAN,vandetanib,4.970669219,0
RPS6KB1,ENSP00000225577,KS6B1_HUMAN,imatinib,4.970664233,0
STK4,ENSP00000361892,STK4_HUMAN,tivozanib,4.97051107,0
EPHB2,ENSP00000363763,EPHB2_HUMAN,imatinib,4.970307023,0
ROS1,ENSP00000357494,ROS1_HUMAN,fascaplysin,4.970075778,0
STK33,ENSP00000416750,STK33_HUMAN,tivozanib,4.969154743,0
SRPK1,ENSP00000362931,SRPK1_HUMAN,fascaplysin,4.968179442,0
PKN2,ENSP00000359552,PKN2_HUMAN,tozasertib,4.96745152,0
CLK4,ENSP00000316948,CLK4_HUMAN,tozasertib,4.966896911,0
AURKB,ENSP00000313950,AURKB_HUMAN,lapatinib,4.966654696,0
TEK,ENSP00000369375,TIE2_HUMAN,gefitinib,4.966600448,0
CDK5,ENSP00000419782,CDK5_HUMAN,imatinib,4.966323335,0
FLT4,ENSP00000261937,VGFR3_HUMAN,imatinib,4.966323335,0
FLT4,ENSP00000261937,VGFR3_HUMAN,gefitinib,4.966323335,0
CDK2,ENSP00000266970,CDK2_HUMAN,gefitinib,4.966323335,0
FLT4,ENSP00000261937,VGFR3_HUMAN,lapatinib,4.966323335,0
BLK,ENSP00000259089,BLK_HUMAN,lapatinib,4.96614831,0
AKT2,ENSP00000375892,AKT2_HUMAN,dasatinib,4.965784076,0
NEK3,ENSP00000484443,NEK3_HUMAN,erlotinib,4.965774965,0
PAK3,ENSP00000353864,PAK3_HUMAN,cediranib,4.965730993,0
MERTK,ENSP00000295408,MERTK_HUMAN,gefitinib,4.9654777580000005,0
NEK6,ENSP00000362702,NEK6_HUMAN,tozasertib,4.965468102,0
IRAK1,ENSP00000358997,IRAK1_HUMAN,imatinib,4.965294787,0
MAP3K9,ENSP00000451263,M3K9_HUMAN,vemurafenib,4.965237894,0
PKMYT1,ENSP00000262300,PMYT1_HUMAN,torin1,4.965237894,0
CHEK1,ENSP00000388648,CHK1_HUMAN,gefitinib,4.965229436,0
NUAK2,ENSP00000356125,NUAK2_HUMAN,barasertib,4.965182036,0
PIM2,ENSP00000365692,PIM2_HUMAN,gefitinib,4.964916752,0
MYLK,ENSP00000353452,MYLK_HUMAN,sorafenib,4.964155948999999,0
SRMS,ENSP00000217188,SRMS_HUMAN,tozasertib,4.963706988,0
MARK2,ENSP00000385751,MARK2_HUMAN,imatinib,4.961764663,0
NTRK3,ENSP00000354207,NTRK3_HUMAN,erlotinib,4.961181686000001,0
TTK,ENSP00000358813,TTK_HUMAN,gefitinib,4.961012964,0
PRKCA,ENSP00000408695,KPCA_HUMAN,sunitinib,4.960338807,0
DMPK,ENSP00000345997,DMPK_HUMAN,gefitinib,4.960241681,0
EGFR,ENSP00000275493,EGFR_HUMAN,sunitinib,4.959839048,0
CAMKK1,ENSP00000158166,KKCC1_HUMAN,imatinib,4.95912472,0
EGFR,ENSP00000275493,EGFR_HUMAN,dovitinib,4.959079299,0
AURKA,ENSP00000216911,AURKA_HUMAN,lapatinib,4.958384754,0
NLK,ENSP00000384625,NLK_HUMAN,fascaplysin,4.957769561,0
MAPK9,ENSP00000394560,MK09_HUMAN,vandetanib,4.9572019560000005,0
FGFR2,ENSP00000410294,FGFR2_HUMAN,lapatinib,4.957030894,0
ULK1,ENSP00000324560,ULK1_HUMAN,vandetanib,4.956727592,0
BRAF,ENSP00000288602,BRAF_HUMAN,fascaplysin,4.955839738,0
MYO3B,ENSP00000386213,MYO3B_HUMAN,lapatinib,4.955575033,0
CSNK1G1,ENSP00000305777,KC1G1_HUMAN,bosutinib,4.955164582,0
STK33,ENSP00000416750,STK33_HUMAN,tozasertib,4.9547268110000005,0
TGFBR2,ENSP00000351905,TGFR2_HUMAN,lapatinib,4.954670547,0
CSNK1E,ENSP00000380044,KC1E_HUMAN,tozasertib,4.954418895,0
RPS6KB1,ENSP00000225577,KS6B1_HUMAN,erlotinib,4.953817948,0
MAP3K5,ENSP00000351908,M3K5_HUMAN,bosutinib,4.953077476,0
MAP3K9,ENSP00000451263,M3K9_HUMAN,vandetanib,4.952493874,0
PIM3,ENSP00000353824,PIM3_HUMAN,vandetanib,4.95208409,0
PIM2,ENSP00000365692,PIM2_HUMAN,sunitinib,4.952036527,0
EEF2K,ENSP00000263026,EF2K_HUMAN,cediranib,4.951706219,0
CDC42BPA,ENSP00000355731,MRCKA_HUMAN,sunitinib,4.951396825,0
TGFBR2,ENSP00000351905,TGFR2_HUMAN,bosutinib,4.950826651,0
CSNK2A1,ENSP00000217244,CSK21_HUMAN,erlotinib,4.950612359,0
MAP3K4,ENSP00000375986,M3K4_HUMAN,sunitinib,4.950144089,0
MAP3K8,ENSP00000263056,M3K8_HUMAN,gefitinib,4.950105345,0
BTK,ENSP00000483570,BTK_HUMAN,linifanib,4.949485002,0
CAMK1,ENSP00000256460,KCC1A_HUMAN,linifanib,4.949485002,0
PIM1,ENSP00000362608,PIM1_HUMAN,linifanib,4.949485002,0
LCK,ENSP00000337825,LCK_HUMAN,linifanib,4.949485002,0
CSNK1G3,ENSP00000353904,KC1G3_HUMAN,linifanib,4.949485002,0
FYN,ENSP00000346671,FYN_HUMAN,linifanib,4.949485002,0
MYO3A,ENSP00000265944,MYO3A_HUMAN,sorafenib,4.949293622,0
MAP3K3,ENSP00000354927,M3K3_HUMAN,tozasertib,4.948671001,0
NLK,ENSP00000384625,NLK_HUMAN,vandetanib,4.948512184,0
EPHA2,ENSP00000351209,EPHA2_HUMAN,sunitinib,4.947932093,0
ROCK1,ENSP00000382697,ROCK1_HUMAN,torin1,4.947821988,0
MERTK,ENSP00000295408,MERTK_HUMAN,torin1,4.947821988,0
TAOK2,ENSP00000310094,TAOK2_HUMAN,vemurafenib,4.947821988,0
BRAF,ENSP00000288602,BRAF_HUMAN,crizotinib,4.947821988,0
HIPK2,ENSP00000385571,HIPK2_HUMAN,torin2,4.947821988,0
MET,ENSP00000317272,MET_HUMAN,vemurafenib,4.947821988,0
TGFBR1,ENSP00000364133,TGFR1_HUMAN,vemurafenib,4.947821988,0
TEC,ENSP00000370912,TEC_HUMAN,erlotinib,4.947817828,0
NTRK3,ENSP00000354207,NTRK3_HUMAN,barasertib,4.947632325,0
MAPK8,ENSP00000378974,MK08_HUMAN,barasertib,4.946967283,0
CSK,ENSP00000220003,CSK_HUMAN,sorafenib,4.946903478,0
AXL,ENSP00000301178,UFO_HUMAN,lapatinib,4.946702727,0
MET,ENSP00000317272,MET_HUMAN,nilotinib,4.946592657,0
LIMK1,ENSP00000336740,LIMK1_HUMAN,sunitinib,4.946517636,0
PRKCG,ENSP00000263431,KPCG_HUMAN,sorafenib,4.945508217,0
CAMK2B,ENSP00000379098,KCC2B_HUMAN,gefitinib,4.944974796,0
PAK4,ENSP00000469413,PAK4_HUMAN,bosutinib,4.944963422,0
SGK2,ENSP00000340608,SGK2_HUMAN,fascaplysin,4.944402487,0
PTK2,ENSP00000341189,FAK1_HUMAN,tivozanib,4.944317035,0
FGFR3,ENSP00000339824,FGFR3_HUMAN,lapatinib,4.944006269,0
STK3,ENSP00000429744,STK3_HUMAN,erlotinib,4.943272478,0
GRK5,ENSP00000376609,GRK5_HUMAN,vandetanib,4.942646165,0
NEK7,ENSP00000356355,NEK7_HUMAN,sunitinib,4.942542976,0
AKT3,ENSP00000263826,AKT3_HUMAN,tozasertib,4.9423580860000005,0
CLK3,ENSP00000378505,CLK3_HUMAN,imatinib,4.94214644,0
CDK16,ENSP00000276052,CDK16_HUMAN,barasertib,4.941970368,0
MAPKAPK2,ENSP00000356070,MAPK2_HUMAN,tozasertib,4.941330568,0
GRK7,ENSP00000264952,GRK7_HUMAN,lapatinib,4.941134774,0
FGFR4,ENSP00000292408,FGFR4_HUMAN,imatinib,4.940629882,0
CHEK1,ENSP00000388648,CHK1_HUMAN,dasatinib,4.940365125,0
SRMS,ENSP00000217188,SRMS_HUMAN,gefitinib,4.939247418,0
PAK3,ENSP00000353864,PAK3_HUMAN,barasertib,4.9387968,0
INSR,ENSP00000303830,INSR_HUMAN,dasatinib,4.938651627,0
MAP2K4,ENSP00000410402,MP2K4_HUMAN,sorafenib,4.938471469,0
